baseMean	baseVar	allZero	dispGeneEst	dispGeneIter	dispFit	dispersion	dispIter	dispOutlier	dispMAP	Intercept	sort_VC_vs_IC	SE_Intercept	SE_sort_VC_vs_IC	WaldStatistic_Intercept	WaldStatistic_sort_VC_vs_IC	WaldPvalue_Intercept	WaldPvalue_sort_VC_vs_IC	betaConv	betaIter	deviance	maxCooks
222.338073055768	39.6154956447314	FALSE	1e-08	32	0.0482238068288853	0.0385931901250882	6	FALSE	0.0385931901250882	7.82126622468957	-0.0516547616192544	0.209539487873343	0.300284814297082	37.3259775714311	-0.172019226946823	6.22115245208034e-305	0.863422413391602	TRUE	2	38.1728281573827	NA
90.2695748999315	19.297507723907	FALSE	1e-08	31	0.066573179452535	0.0544566289038978	6	FALSE	0.0544566289038978	6.52250402727262	-0.046589505884378	0.256674408088406	0.370574722413626	25.4115869043948	-0.125722298544627	1.87792879638581e-142	0.899951750232655	TRUE	2	32.7239016879181	NA
84.1128274614062	154.315379199714	FALSE	1e-08	28	0.0688343062893734	0.0574540414470749	6	FALSE	0.0574540414470749	6.24148388554935	0.279385333664651	0.266423851769046	0.380950734328054	23.4268960684491	0.733389670865051	2.27408225203504e-121	0.463320797276096	TRUE	2	32.5126581215722	NA
181.84983950736	839.402374597375	FALSE	0.00574120124135925	100	0.0510162174774091	0.0429238594896016	9	FALSE	0.0429238594896016	7.33894976822596	0.325719148939926	0.223382533909862	0.318017479751705	32.8537313986568	1.02421775430154	1.00749547818389e-236	0.305732434688324	TRUE	3	37.4070939050431	NA
279.733451660547	2447.17021062807	FALSE	0.0166173437913089	6	0.0456504743644702	0.0402729095479663	9	FALSE	0.0402729095479663	7.96911169072881	0.294015246623887	0.212815015240146	0.302591517879713	37.4461909171976	0.971657264830419	6.92825660945229e-307	0.331221083677732	TRUE	2	40.8976838897259	NA
231.004531832629	840.623296913334	FALSE	1e-08	1	0.0477532798241241	0.0383962819078548	6	FALSE	0.0383962819078548	7.99694588735109	-0.303470270396553	0.208020888918406	0.299425365036357	38.4429944941146	-1.01350889347569	0	0.310817150326615	TRUE	2	38.4562085071351	NA
1414.05754235889	14029.9033466744	FALSE	0.00740639760217942	4	0.0376539201779722	0.0313427544703651	9	FALSE	0.0313427544703651	10.4234243426484	0.0817514128983418	0.182303136132212	0.258425628074218	57.1763303901091	0.316344061955277	0	0.751741370392773	TRUE	2	52.2424319464756	NA
2144.18364667242	171673.036239425	FALSE	0.0247758832834669	2	0.036982420158397	0.0345552891181395	9	FALSE	0.0345552891181395	11.2497016383118	-0.395588603000057	0.190548824250287	0.270189272928213	59.0384206387716	-1.46411661245027	0	0.14316208898316	TRUE	2	56.7824962888303	NA
1482.34307433969	114019.113854752	FALSE	0.0445971389612192	2	0.037563077463804	0.0390301285209595	9	FALSE	0.0390301285209595	10.7343707652571	-0.437080598994157	0.202768406828854	0.287765923662916	52.9390694198107	-1.51887545763114	0	0.128793847683295	TRUE	3	55.1515954690276	NA
1846.6189832285	144404.997166403	FALSE	0.015182023195992	2	0.0371919854213906	0.03270054074788	9	FALSE	0.03270054074788	11.0664597554476	-0.471457702045728	0.185541741404002	0.263310230967567	59.6440438238169	-1.79050278568096	0	0.0733731198262314	TRUE	2	54.8682817637767	NA
1923.60087402416	69346.9021102538	FALSE	0.0126818707991302	2	0.0371315525085078	0.0321041445778796	9	FALSE	0.0321041445778796	11.0360395415543	-0.266566032740391	0.183884449247851	0.260767947441046	60.016165514242	-1.02223465481952	0	0.306669852434798	TRUE	2	55.0561795199727	NA
2605.16256961023	266560.7784592	FALSE	0.0388690487449945	3	0.0367522963910095	0.0382095631782417	7	FALSE	0.0382095631782417	11.4955218835839	-0.31549753782261	0.200143265257372	0.28355968622171	57.4364661673795	-1.11263184843535	0	0.26586657628999	TRUE	3	59.5926108859155	NA
3137.64598105965	365918.276426286	FALSE	0.0541491382846473	4	0.0365706425740888	0.0399957717749549	10	FALSE	0.0399957717749549	11.7061942314922	-0.189003827064631	0.204637155248945	0.289762687043385	57.2046372382934	-0.652271101545702	0	0.514226299097206	TRUE	3	61.6643212006334	NA
160.542385601885	262.954063251014	FALSE	1e-08	1	0.0530514130017595	0.0430749134563131	6	FALSE	0.0430749134563131	7.21011978498057	0.229095121455465	0.224823113122346	0.320976930757177	32.0701892472102	0.713743261595265	1.14847909376802e-225	0.475385949988932	TRUE	2	36.1688406020037	NA
2099.98853549765	164525.941371398	FALSE	0.0368031037961654	3	0.0370097900163257	0.0376181842191048	7	FALSE	0.0376181842191048	11.1856369980939	-0.318326549556696	0.198776631311438	0.281756233786717	56.2723944172717	-1.12979416738535	0	0.258562966482697	TRUE	3	57.6288151145417	NA
2698.19521743297	190231.068639349	FALSE	0.0387335714636228	9	0.0367153897602919	0.037117182486389	9	FALSE	0.037117182486389	11.4547056936925	-0.117700457885659	0.197304125287597	0.279429191419745	58.0560881684339	-0.421217472976383	0	0.673596286401966	TRUE	3	59.5710534909772	NA
1078.98056440883	33191.1201128281	FALSE	0.00978540637579571	3	0.038266328524396	0.0325404958182424	9	FALSE	0.0325404958182424	10.2521097981392	-0.380528508611231	0.18589953525029	0.26432013667118	55.1486574957601	-1.4396500902412	0	0.149966420456118	TRUE	2	50.3581418776689	NA
1035.93040470704	39254.3937302042	FALSE	0.0272496381360683	2	0.0383737293897832	0.0362709374288024	9	FALSE	0.0362709374288024	10.1901651250318	-0.374385989743894	0.196141038465007	0.278778607267861	51.9532536626688	-1.34295092945984	0	0.179287863622942	TRUE	2	51.3095766028984	NA
