Start	Chr	End	IC_4_6_K4me3_1	IC_4_6_K4me3_2	IC_6_8_K4me3_1	IC_6_8_K4me3_2	IC_8_10_K4me3_1	IC_8_10_K4me3_2	VC_4_6_K4me3_1	VC_4_6_K4me3_2	VC_68_K4me3_1_1	VC_68_K4me3_2_1	VC_810_K4me3_1_1	VC_810_K4me3_2_1	IC_4_6_K27ac_1	IC_4_6_K27ac_3	IC_6_8_K27ac_1	IC_6_8_K27ac_3	IC_8_10_K27ac_1	IC_8_10_K27ac_2	VC_4_6_K27ac_1	VC_4_6_K27ac_2	VC_68_K27ac_1_1	VC_68_K27ac_2_1	VC_810_K27ac_1_1	VC_810_K27ac_2_1	IC_4_6_K79me3_1	IC_4_6_K79me3_2	IC_6_8_K79me3_1	IC_6_8_K79me3_2	IC_8_10_K79me3_1	IC_8_10_K79me3_2	VC_4_6_K79me3_1	VC_4_6_K79me3_2	VC_68_K79me3_1_1	VC_68_K79me3_2_1	VC_810_K79me3_1_1	VC_810_K79me3_2_1	IC_4_6_K4mono_1	IC_4_6_K4mono_2	IC_6_8_K4mono_1	IC_6_8_K4mono_2	IC_8_10_K4mono_1	IC_8_10_K4mono_2	VC_4_6_K4mono_1	VC_4_6_K4mono_2	VC_68_K4mono_1_1	VC_68_K4mono_2_1	VC_810_K4mono_1_1	VC_810_K4mono_2_1	IC_4_6_K27me3_1	IC_4_6_K27me3_2	IC_6_8_K27me3_2	IC_6_8_K27me3_3	IC_8_10_K27me3_1	IC_8_10_K27me3_2	VC_4_6_K27me3_1	VC_4_6_K27me3_2	VC_68_K27me3_1_1	VC_68_K27me3_2_1	VC_810_K27me3_1_1	VC_810_K27me3_2_1	K27ac_46_TAD	K27ac_68_TAD	K27ac_810_TAD	K27me3_46_TAD	K27me3_68_TAD	K27me3_810_TAD	K27ac_vector	K27me3_vector	Euklidian_dist
7716	2L	17449	723	800	1099	1357	705	661	970	1622	1441	1000	1930	1849	3603	2631	3579	1041	2696	2259	4303	1596	5321	5176	4821	4272	4621	10950	5273	3324	3683	3861	8729	3942	5609	4759	3800	1158	3691	6129	4280	3819	3951	3765	5237	2929	10765	7358	9333	9142	3602	1581	1164	2102	1730	2666	3892	1422	2813	2051	3573	2416	-0.0949834131948649	-0.307454772029186	0.0337008465390738	-0.0710414808876851	0.397362379694895	-0.18741895173999	-0.368737338684977	0.138901947067219	0.394031693953093
21643	2L	66422	2752	4291	4995	6462	4249	2409	3176	3970	3828	3780	7972	7508	37636	34688	39564	12223	27322	25322	43771	17902	57718	55905	46450	34488	5048	31098	7061	6199	7336	4775	9625	5165	6869	6824	9204	2677	32280	48147	36365	30259	33157	28266	41790	17822	78676	59481	69352	69086	10998	6030	5574	11100	8706	6832	13662	5667	10501	10125	10889	7667	-0.227201581286943	-0.337862553597623	-0.236109812038625	0.225422688063935	0.164699224281713	0.0926791789773116	-0.801173946923191	0.48280109132296	0.9354018318408
43624	4	58009	6048	6694	4052	5439	5007	7603	13358	18476	13399	12949	12035	10680	11182	12030	17376	5577	8942	7654	16812	6198	15394	20394	13117	14049	17929	35332	17474	10692	13376	16133	30927	13829	25302	17124	12426	3835	5807	11345	7719	8280	6815	6089	8387	5363	20057	13592	14451	14546	1933	661	729	2296	1437	1017	2608	602	2206	1352	1886	1074	-0.0477027538858583	-0.804646097606058	-0.112753946655896	-0.0391444331168638	0.198781203796838	0.164081413072741	-0.965102798147813	0.323718183752715	1.01794738247362
49744	3L	132865	7372	10064	9446	12442	9846	9652	10903	11695	11468	10804	19500	18463	43522	38121	46407	17506	32282	32647	55687	23163	72398	67805	59091	47601	13128	59449	14351	11706	16778	14924	20377	11111	16750	15671	18985	5730	40453	61202	43924	39901	41247	39414	52490	25685	106702	78680	90796	90266	29106	12720	13686	27381	19174	24295	30324	15065	23632	20287	27783	20184	-0.0401715813016181	-0.266147364077441	-0.130478908159206	0.117559312517558	-0.0479104149500804	-0.362395060703184	-0.436797853538265	-0.292746163135707	0.525825713413022
58009	4	68251	5566	5232	3504	4591	7878	8815	12319	13689	11462	11621	12711	11181	11766	13489	18736	7577	10294	9283	19589	6960	17943	24114	14203	17853	7238	19235	6337	3994	5585	6156	9623	4899	8974	7023	5024	1623	4115	8374	5491	6244	4854	4501	5659	4226	15178	10650	10216	9987	1539	336	326	1681	1352	1002	1913	407	1615	867	1472	798	0.0232022529490174	-0.679900714618773	-0.095989687434689	-0.200118031524364	0.377605780605191	-0.203283033466445	-0.752688149104444	-0.0257952843856184	0.75313003292845
66422	2L	71492	3237	2935	1732	2343	2710	3738	5411	7160	5847	6151	5746	4868	4031	3882	4896	1652	3554	3061	5465	1935	6035	6781	5322	5088	3114	6647	4178	2465	2244	2343	5590	2226	3453	2997	2248	649	2938	4145	3296	2669	2821	2378	3438	1695	6753	5058	5882	5690	635	446	210	853	644	368	914	273	803	498	643	373	-0.137231569360242	-0.465624907319677	-0.180308219337017	0.215728963232119	0.312951955100473	0.0914495904880149	-0.783164696016935	0.620130508820607	0.998953847310977
69380	4	129005	7188	9299	7838	10404	8190	8189	11465	13701	11915	12435	16749	15059	29117	27747	35607	14240	21510	19865	38203	15380	43904	47473	36025	33318	13511	56829	12828	10209	11028	11247	22080	10445	15419	13910	15535	4642	16393	33270	18061	19032	18511	18010	22134	14746	52361	36446	48425	46849	15450	7423	6376	13999	10822	12679	15586	5808	14084	11817	16902	11111	-0.0893665408682999	-0.495629012156516	-0.0908935214021456	-0.155191548197797	0.2267302702046	-0.215040798544535	-0.675889074426961	-0.143502076537732	0.690955054182525
71492	2L	84867	762	1187	1280	1610	991	790	1201	988	1060	959	2378	2245	6419	5818	6331	2560	5398	5807	8650	3704	11706	10548	10057	8107	1154	8064	1791	1485	2092	1301	2651	1527	1816	2069	2381	755	4121	7289	4516	4096	4664	4459	6064	3040	11964	8616	11812	11603	3189	1404	1683	3795	2338	2077	3410	1505	2662	2606	2826	2061	0.0306649635971698	-0.0493012153690136	-0.148702234499693	0.0541849780931097	-0.163628871693549	-0.110464574562076	-0.167338486271537	-0.219908468162515	0.276336576220437
86316	2L	94100	705	803	948	1119	599	519	783	936	672	751	1349	1366	3762	3088	4049	1269	2749	3260	5924	2154	7793	6654	5583	4532	1042	5450	1200	1068	1153	1245	3552	1726	1588	2004	1503	468	5863	7269	5676	5047	4719	4657	8227	3516	14119	10710	10719	10285	3857	1336	1478	2766	1465	1504	2935	1475	1969	1837	1945	1443	0.211763033818693	-0.029901888923899	-0.0916287381677181	-0.330721657547502	-0.316898856269548	-0.171401279909636	0.0902324067270757	-0.819021793726687	0.823977296909957
94100	2L	102022	2675	2701	2117	2844	4166	5052	6126	7079	6358	6391	7713	6386	3008	2694	3719	1675	2299	2402	4100	1502	4775	5144	4464	4298	2072	6998	1799	1668	2205	1865	3182	1547	2585	2311	2119	651	3050	4547	3130	2965	2846	2471	3552	1759	6961	5106	6254	6181	1076	509	522	1393	1252	546	1462	361	1127	852	981	556	-0.0527692808770716	-0.440391616667157	0.0686051768668539	0.0141093430781864	-0.0242936374277691	0.116198678748314	-0.424555720677374	0.106014384398731	0.437591829973237
102022	2L	109431	8603	7828	5180	6416	11614	13565	15723	21880	18256	17461	16485	13539	7831	8017	8599	3155	5721	6121	11174	3901	13245	14986	11609	9885	2900	8858	4044	2809	2888	3400	5802	2596	3720	3836	2575	803	6376	9838	6775	5376	6716	5324	8093	3346	14815	11274	12895	13163	1177	887	577	1459	853	568	1422	381	1056	736	961	557	-0.120479966983858	-0.138456691243497	0.0194204829629377	-0.106339910217577	-0.271908957784527	0.044126977202355	-0.239516175264417	-0.334121890799749	0.411102707513456
109431	2L	114582	342	551	526	614	403	274	334	588	635	478	897	773	2121	1644	2322	766	1898	2025	3551	1217	4333	4147	3631	2863	729	3668	977	799	866	847	1385	839	1108	1083	1089	334	2115	3351	2217	2061	2130	2096	3066	1510	6177	4490	5365	5339	766	454	276	766	663	385	911	222	640	583	680	411	0.300951183852615	0.00822008709435664	-0.120766672465622	-0.180504446737999	0.173591271724998	0.133900198123511	0.18840459848135	0.126987023110509	0.227204746357526
117130	2L	122075	464	447	507	626	408	231	253	275	303	315	792	806	2474	2188	2552	1086	2497	2651	3545	1436	5267	4362	4820	3533	472	2932	954	784	993	461	825	457	609	777	841	311	1481	3095	1746	1505	1914	2150	2340	1229	4688	3549	5516	5627	1186	829	587	1034	617	647	1156	444	1018	832	948	637	0.0971541354517061	0.0495272902029867	-0.156444126295752	-0.187075164590025	0.0115141555720991	-0.0635890455748194	-0.00976270064105927	-0.239150054592745	0.239349240515862
122075	2L	131214	414	717	983	1306	1770	1421	1306	1016	1083	1373	3483	2676	5866	5181	6514	2375	6540	6962	9022	3650	12655	12235	13231	10529	1059	6597	1886	1490	1971	2096	2439	1531	2511	2269	2825	833	4724	8856	4930	4177	5848	6009	6754	3326	13743	9905	14289	14604	1916	1347	885	2183	2192	1159	2067	694	1533	1604	1571	1007	0.199303644105546	0.0739706629727902	-0.0316975166722317	-0.129259481103116	-0.0494172597660784	-0.208558789457562	0.241576790406105	-0.387235530326756	0.456410672103928
130382	X	141617	538	616	848	861	892	356	448	811	867	587	1207	1233	2859	2553	2638	1329	1659	2281	3287	1238	4441	4233	4491	3775	941	5416	1581	1018	1938	1074	1991	1083	1522	1428	1796	485	1814	3333	1965	1805	2063	1856	2403	1496	5385	3745	5257	5455	1371	481	407	1108	1401	558	1508	383	1175	870	1048	571	-0.277307637273682	-0.143385825557185	0.232505818336027	-0.27414698191399	0.364976137798978	0.154675939934082	-0.18818764449484	0.245505095819071	0.309333705912639
131214	2L	143261	737	1076	1324	1636	1985	1221	1440	1215	1302	1499	2569	2526	7424	6155	7088	2840	6310	7802	10719	4461	15359	13162	13815	9947	1269	7894	2032	1623	2150	2325	2630	1486	1979	2424	2442	791	5705	10222	5983	4670	6013	7797	7953	4008	15658	11927	17046	17007	2472	1780	1463	2798	2301	1650	2973	1157	2255	2352	2182	1542	0.173261175880647	0.143663712937592	-0.101405900644063	0.127612919209448	-0.037594546445064	-0.175104412058994	0.215518988174176	-0.0850860392946097	0.231706858652187
132120	4	179137	6711	7776	6524	9248	8666	11692	13686	14903	14222	14871	19707	16934	26385	26230	31829	11004	20192	18795	37050	14443	38898	43412	32113	32452	4941	36662	5086	5194	7292	5228	9017	5143	7867	7528	9424	3019	12901	23121	12604	12796	12189	12675	18100	10170	37968	26622	33369	32124	6971	3809	2833	7815	6775	3836	8842	2584	7136	5179	7196	4266	-0.0462945181114132	-0.483268913207709	-0.0995264515282107	0.00924199915351191	0.147077169821588	0.206032120638048	-0.629089882847333	0.362351289613148	0.725983841270026
132865	3L	145951	855	1103	1418	1450	1387	1039	1736	2499	2293	1843	3058	3038	10743	10696	14040	5165	8389	8627	15870	6153	19154	20893	15209	12522	11761	24312	15513	11648	11906	18271	15452	7777	13262	10769	11715	3294	12052	20407	15688	13850	15080	13602	17167	7873	35022	26652	30212	30992	1668	1470	1029	2243	1934	993	2409	720	1897	1584	1786	1093	0.0220854453780405	-0.342824892521646	-0.140004233134325	0.215825234856683	-0.0319583402590471	0.167886656963354	-0.460743680277931	0.35175355156099	0.579668267159607
141617	X	201977	3106	4392	4956	5658	3357	2514	3145	3887	3819	3741	7791	6994	22874	22154	25434	9205	18927	18328	29465	12398	37615	37811	33190	27854	4510	31226	6753	5010	6859	6540	9584	4945	7214	7366	9999	2906	13426	22855	15304	14814	14708	15918	19544	10428	42655	29289	39381	39582	8872	5196	4005	9879	7027	6134	11530	3640	8742	7457	9526	6342	-0.0961626191477216	-0.29002340787552	-0.131669661623569	0.0945613765503793	0.13523447794944	0.0142862650267508	-0.517855688646811	0.24408211952657	0.572495061407909
143261	2L	155437	6522	6257	4729	5269	9484	8834	13027	15545	12865	13172	13202	11563	8026	6775	8302	2782	7444	8202	11376	4720	17431	15137	15565	11646	2677	9903	3882	3246	3089	2473	4632	2399	3645	3452	3198	945	6427	10434	6568	5027	6349	5855	8373	3842	16278	11706	16833	17115	2050	1421	1454	2415	2914	1087	2587	688	1856	1770	1682	1018	0.131783449151328	0.107553682084289	-0.0536702989548299	-0.0521970400641371	-0.286103618353982	-0.0565042347947443	0.185666832280787	-0.394804893212864	0.436283252387715
145951	3L	161814	3954	3448	3622	3872	5684	6585	8423	10005	9428	9626	10635	9554	14472	13528	16646	5134	12821	13111	22614	8666	27773	28627	22503	18039	4053	14885	4061	3389	4770	5033	6752	4043	6927	5940	5518	1623	14531	22973	17890	14506	16948	14681	20114	8929	40416	30872	34004	34178	2852	2047	1838	3464	3277	1815	3932	1559	2823	2657	2996	2057	0.142425250590624	-0.0967783196954525	-0.202549927828217	0.339020112444179	-0.110077834083133	0.124105498526896	-0.156902996933045	0.353047776887941	0.386343478283365
155437	2L	159411	9911	9801	6522	8231	13699	18504	24669	28898	24186	25502	23729	20526	5378	5097	6827	2517	4378	4090	7668	2711	8206	9893	6893	7025	7242	15205	7616	5054	5456	6930	10725	4824	8540	7297	4748	1589	2867	4202	3150	2759	2925	2176	3604	1609	5982	4565	4810	5377	953	346	277	846	650	403	883	259	631	478	624	360	-0.053988920775789	-0.444361574341054	-0.109773498743267	-0.42967084182683	-0.0571884187557868	-0.0862792261354347	-0.60812399386011	-0.573138486718052	0.835644970586091
159411	2L	180711	4628	4442	3917	5238	5470	8111	10032	11767	11176	11150	13577	12104	17041	16886	25414	8057	17848	17538	25241	9373	27564	32476	26770	27482	31819	55145	41935	25437	32236	39263	55645	24899	54072	32682	33016	8878	13750	25794	18643	19550	17247	16227	21850	12678	48631	34485	36996	35672	2534	1812	1225	3285	2967	1371	3747	960	3185	2353	2692	1640	-0.00045173995001316	-0.61147501846934	-0.208110020328195	0.151806534275892	0.225993433349783	0.291119556404323	-0.820036778747548	0.668919524029997	1.0582597262143
164143	3L	174599	566	869	1203	1403	883	595	977	960	974	924	1994	1918	9049	8667	9111	2891	7069	6854	12844	5031	15210	15085	13396	9898	3302	10744	4125	3128	4236	4649	7220	3551	7174	4843	5019	1424	7922	12619	9404	7681	8411	7703	11768	4971	22621	16503	19812	19231	1692	1271	1111	2473	2322	1190	2339	781	1776	1817	1817	1219	0.00104023202230143	-0.125522556280738	-0.113539546103563	0.224495689554943	-0.105719419037565	-0.00505900813110054	-0.238021870362	0.113717262386277	0.263791634695367
175361	3L	184918	8567	7557	4880	6449	10087	11212	15506	20254	16452	16638	15571	13868	8161	7573	9191	3544	7405	7216	11317	4251	15262	14917	13814	10948	3534	10639	4620	3275	3929	3702	6687	3049	4368	3808	3158	946	7393	11321	8491	5934	7628	6624	9458	4006	16655	12481	16323	16750	2018	1118	662	1736	2015	786	1955	708	1513	1301	1432	915	-0.0379310056872518	-0.144271347931631	-0.0892807489513937	-0.234843415641744	0.158666657391934	0.215869760392429	-0.271483102570277	0.139693002142619	0.305314935482693
180364	4	205960	6828	7619	5297	8041	6807	12753	16352	17806	16899	18174	21633	17688	17083	18168	24373	9780	12889	12111	25581	9820	24169	30685	19020	22538	5559	27961	5201	4016	5175	5791	8795	4399	8197	7703	7582	2225	6276	11705	6987	7632	6825	6554	8954	5493	20288	14429	16292	16059	2661	2093	1438	3447	3153	1819	4760	1170	3910	2494	3884	2166	-0.0166463352515169	-0.678410238045527	-0.0789130878706983	0.400763723533178	0.286410044521209	0.352649964159397	-0.773969661167742	1.03982373221378	1.29624937048514
180711	2L	203046	2151	2287	2773	3600	2566	2233	2698	4190	3687	3058	5280	4299	9116	7678	9133	4017	8138	8382	11705	4778	17518	15879	17063	12530	14037	31514	19622	14252	13836	14987	23751	11809	18512	14441	14664	4185	12885	19848	12852	10147	12910	10675	15394	6951	29495	21244	29233	29255	3760	2101	1527	4149	3308	1475	3916	1036	3005	2585	2697	1462	-0.020918209495514	0.0079436080603683	-0.0142469671139037	-0.334623465451063	-0.0839489594245936	0.11107300375325	-0.0272215685490495	-0.307499421122407	0.308701972434395
184918	3L	199765	8966	8203	6122	6849	10611	12330	16592	20858	17298	17908	17997	15388	6712	5804	6335	2840	4903	5068	8386	3257	11485	10417	10685	8459	10047	21344	11652	8419	8578	8556	17543	8198	11107	10049	7581	2417	8964	12789	8694	6344	7466	5970	10546	3937	16982	12448	16434	17499	2091	1437	925	2809	1902	1092	2893	758	2014	1758	1951	1034	-0.113944631979525	-0.0729475171585749	0.0928965802929305	0.0707577798912247	-0.0190360918008455	0.0638554735200758	-0.0939955688451691	0.115577161610455	0.148973981783586
199765	3L	224245	19761	17165	14144	16959	30521	34572	45085	52009	46967	45035	48519	42090	21192	19459	22413	8542	16246	16886	29461	11099	37844	37631	32646	26262	10644	31920	14667	10422	10362	13168	17440	8937	14361	13988	10901	3320	21069	31107	20712	15499	19036	15370	26566	10192	44959	34067	39581	40446	3959	2645	1842	4480	4400	1959	4838	1406	3650	3005	3295	1829	-0.0249366732110584	-0.107113021352057	-0.0162922802441624	-0.0461707721451652	-0.0183227893146043	0.00569143294141261	-0.148341974807277	-0.0588021285183569	0.159571400344837
206959	2L	223445	7040	6542	5414	6323	10884	11048	15174	18429	16601	16175	18509	15776	12137	11697	15536	6190	10984	11194	17420	6737	21793	23762	20516	19089	15771	29057	18331	12806	12626	13669	28009	12659	19572	15255	13823	3971	11671	19595	14169	11477	12518	10230	14441	6846	27484	20729	23711	25282	2541	1533	1059	2861	1994	1057	3065	749	2413	1740	1950	1115	0.00343432761448912	-0.302990251848692	0.00336899302111704	-0.168898437687169	0.0141586328566782	0.159213628645482	-0.296186931213085	0.00447382381499106	0.296220717237928
210241	4	307879	8513	11816	10781	14168	9598	9235	13672	15128	13465	14248	22400	20011	55515	60672	70157	24403	40649	36974	78389	31121	81297	91558	62903	60845	7889	66116	8717	8206	10157	8314	15010	8544	12765	13333	17739	5250	26774	47602	27227	27261	24531	26572	36138	21694	82414	56653	68313	65741	13964	7341	5857	16270	11161	8902	19891	5846	16415	11598	16773	10283	-0.0994523596317211	-0.55269795597396	-0.159073459749937	0.179045409535169	0.278831758896418	0.234960599938855	-0.811223775355618	0.692837768370441	1.06682153473894
223445	2L	250672	10705	9996	7706	9926	12461	14266	20625	25871	20993	21554	21836	18995	24863	23641	29482	10368	19752	19098	33124	12505	39113	42079	34204	32554	31547	53179	42942	28548	26927	26920	57652	25322	40844	29498	24554	6792	20953	34249	26259	22070	24805	19958	27493	12855	52458	40066	48152	48990	4018	3220	1386	4602	3772	1834	5031	1245	3922	3128	3221	1942	-0.110853473401969	-0.394009239390134	-0.0511141247189862	-0.11012961797271	0.222137297913776	0.123055611899682	-0.55597683751109	0.235063291840748	0.603626536046785
224245	3L	247264	14698	13062	10947	13206	24348	23554	32375	36899	30780	31465	32379	27480	15593	14775	19631	8159	12405	12166	20041	6807	24812	27620	21437	21523	28337	53830	35281	24896	25304	28101	46156	20120	32269	27912	19545	5563	11477	17525	12707	10630	11421	8980	13735	6195	25375	19412	23032	24025	3492	2410	1514	4513	3739	1580	4448	1187	3324	2374	2888	1676	-0.230941223946572	-0.436807446330034	-0.020749403947884	-0.0394672598920455	-0.124680295013233	0.155173601783133	-0.68849807422449	-0.00897395312214586	0.688556555444409
247214	X	255304	1255	1095	1254	1012	1243	1418	1821	2809	2373	1948	2757	2633	4248	3850	4281	1733	3090	3369	4772	1902	6529	6819	5973	5229	3234	6918	3607	2317	2085	2438	4513	2079	2946	2258	2116	616	4122	6600	4470	3972	4034	3524	5020	2369	9741	7114	8575	8691	871	655	500	1107	860	373	1089	260	821	704	725	452	-0.283047623833711	-0.216277026348143	-0.0433048214024642	-0.122253500818519	-0.191713731894616	0.292665337962361	-0.542629471584318	-0.0213018947507742	0.543047432690598
247264	3L	258462	5774	5547	4064	5084	8311	8928	11880	14791	12609	12647	12913	10664	6606	6011	7512	2143	4864	4882	8924	3129	10362	11090	9071	8639	3845	11537	4634	3365	3267	3266	6055	3038	4625	4208	3623	1017	4916	7698	4993	4461	4956	4080	5991	3033	11279	8546	10245	10683	1508	1233	728	1926	1856	815	2051	537	1596	1306	1528	785	-0.107399551845185	-0.341972039640802	0.030251533555103	0.0477440321719336	0.0576675635731695	0.114263828004681	-0.419120057930884	0.219675423749784	0.473200712974563
250672	2L	272225	6931	7324	5343	6742	7558	8870	13926	17520	14454	13534	14508	12733	13726	11580	13135	4834	10289	11355	18162	7503	25211	21634	22230	17010	5054	17864	7476	5480	5854	4834	9122	4957	6572	6118	5959	1849	10428	17970	10695	8502	10020	8933	13557	6320	25465	18300	26966	27259	3798	2834	1771	4067	4198	2160	4614	1536	3505	3409	3106	2215	0.0299028800537251	-0.0303859020332779	0.00842441439257294	0.034731874696287	0.141535466157058	-0.0472514433491307	0.00794139241302011	0.129015897504214	0.129260077062779
256034	X	280068	3719	3636	3496	3625	5750	7090	7453	8770	8017	8456	12535	9653	9867	8892	11234	3694	10127	10499	14796	5965	18086	18847	18213	17360	3787	16434	4538	4127	4502	5679	6446	3529	6004	5412	6320	1739	7688	13907	9314	8221	8882	8789	10304	5813	22430	15806	21226	21139	2850	1311	899	3107	2579	1421	3402	953	2713	2127	2484	1592	0.145653530734194	-0.139829321739357	-0.0442084900253063	-0.1017233700216	0.267910002918427	0.158188742411985	-0.0383842810304693	0.324375375308811	0.326638542026133
258462	3L	271673	14793	12559	10095	11575	21991	22513	28061	35120	30011	29515	29101	25836	15789	17197	19685	8005	14318	12715	22847	8190	26101	29789	21848	21277	14584	27590	17618	11973	14532	15412	22083	10422	15613	14529	10200	3079	12972	19979	15517	12507	14054	10995	16579	6959	30122	23208	24387	25461	1948	1117	1031	2588	2048	982	3159	1114	2116	1485	2056	1184	-0.131890901061382	-0.347595368669816	-0.158070032564651	0.490556007050437	-0.0963375262873305	0.346306152286161	-0.637556302295849	0.740524633049268	0.977166705710908
271673	3L	292314	2026	2532	2995	4406	3877	3692	3984	4344	4667	4509	6987	6394	12914	10453	12579	5136	9798	11716	18274	7374	27676	22049	22982	15137	4101	15358	6235	4594	6037	4740	9375	4190	5765	5418	5961	1732	10027	17128	11247	9476	11123	10573	12907	6272	25701	18043	27487	27838	5540	3126	3070	5556	4803	3200	5957	2867	4174	4444	4011	2774	0.13877259472201	0.115034449797956	-0.0369573864392245	0.134570876478042	-0.167027153947335	-0.267692519716808	0.216849658080741	-0.300148797186101	0.370287826780733
272225	2L	277446	9216	7966	6011	7120	12876	14167	18344	24809	20255	19361	17553	16182	5605	5734	6687	2321	4173	4495	8153	3012	9862	10336	8201	7391	4797	9989	5831	3676	3512	4085	7529	3858	4974	5131	2859	884	5594	8127	5593	4490	4777	3827	6618	2746	11479	8690	9779	10115	660	668	467	862	675	455	1152	361	774	567	744	381	-0.0539721029663948	-0.261902427290376	0.011890133392601	0.522164451307148	-0.156536223017397	-0.0831552214840201	-0.30398439686417	0.282473006805731	0.414966881944504
277446	2L	283328	7082	4995	3284	3877	6431	6990	10613	15239	10351	9748	9080	8181	6857	6642	6691	2073	3971	3876	8377	2928	8913	9666	7330	6120	16261	17080	10322	6177	5248	5336	20001	8545	9466	7042	3693	1197	7741	9871	8281	6275	6792	4653	10477	3398	15323	12143	12047	12263	1244	572	484	934	818	408	1105	318	891	711	803	419	-0.30098358969672	-0.381910730978523	-0.0670784108948886	-0.503844395866334	0.0212602774047473	0.195378698412873	-0.749972731570132	-0.287205420048714	0.803085332579374
283328	2L	294987	8701	7780	6026	6646	14222	14567	17983	21009	17750	17181	19365	16773	10862	10464	12906	4409	9375	10166	15167	5970	19165	19260	17484	14625	10720	22232	9927	6629	7973	8713	14832	7313	10827	9524	6459	1949	9983	15613	10635	8675	9322	8217	13142	5699	23532	17663	20772	21275	2055	1843	967	1994	2740	1146	2549	849	1816	1665	1698	1105	-0.0235606613596458	-0.284360384992538	-0.125471398583096	0.0663788641186355	0.100162029982297	-0.0697183318450079	-0.43339244493528	0.096822562255925	0.444076141994571
293850	3L	311817	5985	5179	4086	4607	4729	3715	7228	11473	9032	8463	6460	6588	14345	14050	16893	6209	10486	10246	19035	6895	24177	24923	20217	16691	28894	36961	30561	18725	15647	15888	52750	21453	32042	21709	14032	4050	14836	22568	17959	15079	15954	13045	19787	8528	36955	27447	31301	31926	2345	1496	1034	3292	2735	1307	3204	839	2709	2041	2313	1353	-0.167022800776959	-0.318002454584271	-0.0133784099164127	0.0517703390002358	0.108835122275202	0.114078200439467	-0.498403665277642	0.274683661714905	0.569084640080275
294987	2L	298022	5015	4417	2721	3630	5834	6691	9421	13096	10042	9258	8732	7757	2413	2589	2126	1526	1162	1622	3406	1186	4098	3850	3223	3346	6621	9609	5816	3914	3735	3452	11366	4626	5891	4822	2426	827	2747	4150	2963	2142	2637	2032	3554	1269	5920	4658	4731	4895	463	123	243	410	438	206	662	163	434	327	437	219	-0.17284909905936	0.0412294245820707	0.422173744719509	0.0946198276855397	0.0295028277002733	0.279764731489197	0.29055407024222	0.40388738687501	0.4975406405622
298022	2L	305030	3272	3634	2817	3213	5554	6047	7410	8694	7573	8287	8281	7338	3650	3309	4004	1828	2691	3040	5027	1958	6881	6226	6049	5184	3375	8643	4495	3386	3573	4254	5874	3004	5067	4333	3837	1100	2986	4849	3235	2598	2933	2611	3606	2012	7825	5461	8051	8160	1085	507	287	1110	722	497	1343	341	1092	856	901	518	-0.00525998422547321	-0.151876725029364	0.131982640087422	-0.103104007584145	0.497533339894938	0.138467050880508	-0.0251540691674151	0.532896383191301	0.533489721001304
305030	2L	312470	635	775	983	1074	1257	1410	2141	2222	2364	3297	3697	2944	3386	2969	3573	1635	3500	3387	6027	2849	8219	8996	7693	6421	992	4793	1728	1206	1543	1476	3800	1971	8103	3471	3796	1045	2190	4456	2665	2178	2701	2952	4357	2216	10358	7392	9747	9484	1754	1625	934	1527	1095	1015	1933	764	1353	1467	1291	952	0.529919498950165	0.413540693309609	0.190514415267584	0.0115728441400622	0.00428316886252826	-0.200464259568653	1.13397460752736	-0.184608246566062	1.14890322273768
307879	4	357637	12268	12728	10319	13532	17585	20941	25805	28149	25460	26194	31654	27288	23870	22610	29706	12317	17394	15978	29859	11291	32751	36988	27306	27328	9700	52300	10469	8454	11828	10840	16268	8529	14127	13892	13602	4455	12782	23215	13811	14123	13293	12412	16877	9714	36796	25706	32030	30848	13251	5090	4947	12082	9153	6510	14442	5141	10665	7200	10311	6505	-0.197730464040121	-0.622300186080587	-0.117352628326145	-0.0766580335518853	-0.0280823464805194	0.00457886594771592	-0.937383278446854	-0.100161514084689	0.942719332365423
311817	3L	319505	3717	3389	2690	3044	5682	6117	8267	11084	8463	9464	8873	7596	6215	5610	6187	2118	5444	6138	9207	3622	12925	12293	12956	10112	17859	24264	24073	15827	14550	19061	37331	16614	31104	18851	13808	3741	8242	13404	9606	7589	8961	7667	10660	4801	20276	14699	18728	18898	1366	928	555	1501	1427	577	1487	380	1037	964	982	558	0.109736674258131	0.166491350849124	0.146380174028516	-0.285315853700858	-0.101121618074384	0.0397193901303425	0.422608199135771	-0.3467180816449	0.546636184419124
312470	2L	348254	1787	3223	3642	4918	3543	1282	1897	2100	2425	2285	4936	4764	14143	10751	12577	6057	12352	12061	18827	8500	32713	24826	28166	18737	3404	19523	5383	4254	5853	3698	6562	3794	7890	5923	8201	2507	10579	17475	11074	8912	11477	9737	15196	7075	30896	22977	35786	35327	11588	6105	5441	9967	8548	5399	10465	5179	8132	8653	8141	6045	0.175767494283367	0.323832452621428	0.0762747965929595	-0.0927619048399736	-0.0390964931563945	0.0525452106238617	0.575874743497754	-0.0793131873725063	0.581310847903074
