Start	Chr	End	IC_4_6_K4me3_1	IC_4_6_K4me3_2	IC_6_8_K4me3_1	IC_6_8_K4me3_2	IC_8_10_K4me3_1	IC_8_10_K4me3_2	VC_4_6_K4me3_1	VC_4_6_K4me3_2	VC_68_K4me3_1_1	VC_68_K4me3_2_1	VC_810_K4me3_1_1	VC_810_K4me3_2_1	IC_4_6_K27ac_1	IC_4_6_K27ac_3	IC_6_8_K27ac_1	IC_6_8_K27ac_3	IC_8_10_K27ac_1	IC_8_10_K27ac_2	VC_4_6_K27ac_1	VC_4_6_K27ac_2	VC_68_K27ac_1_1	VC_68_K27ac_2_1	VC_810_K27ac_1_1	VC_810_K27ac_2_1	IC_4_6_K79me3_1	IC_4_6_K79me3_2	IC_6_8_K79me3_1	IC_6_8_K79me3_2	IC_8_10_K79me3_1	IC_8_10_K79me3_2	VC_4_6_K79me3_1	VC_4_6_K79me3_2	VC_68_K79me3_1_1	VC_68_K79me3_2_1	VC_810_K79me3_1_1	VC_810_K79me3_2_1	IC_4_6_K4mono_1	IC_4_6_K4mono_2	IC_6_8_K4mono_1	IC_6_8_K4mono_2	IC_8_10_K4mono_1	IC_8_10_K4mono_2	VC_4_6_K4mono_1	VC_4_6_K4mono_2	VC_68_K4mono_1_1	VC_68_K4mono_2_1	VC_810_K4mono_1_1	VC_810_K4mono_2_1	IC_4_6_K27me3_1	IC_4_6_K27me3_2	IC_6_8_K27me3_2	IC_6_8_K27me3_3	IC_8_10_K27me3_1	IC_8_10_K27me3_2	VC_4_6_K27me3_1	VC_4_6_K27me3_2	VC_68_K27me3_1_1	VC_68_K27me3_2_1	VC_810_K27me3_1_1	VC_810_K27me3_2_1	K27ac_46_TAD	K27ac_68_TAD	K27ac_810_TAD	K27me3_46_TAD	K27me3_68_TAD	K27me3_810_TAD	K27ac_vector	K27me3_vector	Euklidian_dist
16765772	3L	16779729	10483	8428	8135	9514	18803	20571	23113	30111	25144	24055	27117	21237	12927	12788	17336	4852	10257	10007	19400	7359	22017	24041	19064	15742	35370	58773	52483	31783	34299	44286	53819	28284	54945	39422	28111	7383	19345	30128	21731	18228	17804	14355	24639	10322	42729	32766	31437	32517	2804	1932	1443	3198	3073	2662	4003	2085	3993	3365	6261	4441	0.0344937319524777	-0.445243527529962	-0.065055292828519	0.608785690960958	0.548249072932054	0.659254960029648	-0.475805088406003	1.81628972392266	1.87757791938979
16773960	2R	16783707	912	1058	1136	1722	1848	1250	1397	1771	1711	1935	2509	2179	8230	8109	8098	2873	5611	5837	11758	4984	15972	14708	12327	7906	837	5368	1463	1082	1398	906	2401	1263	1317	1345	1586	516	5364	7921	5268	3791	4794	4294	7694	3000	14954	10551	14179	13561	1731	1198	904	1975	1520	1131	2144	726	1594	1602	1422	920	0.0454905696537893	0.0596926307247174	-0.0460012927796177	0.075385420651096	0.0358375374759936	-0.310636973175176	0.0591819075988889	-0.199414015048087	0.20801069103448
16779729	3L	16787894	11150	10609	6701	8030	14789	16621	23017	29276	23329	22851	22059	19140	6069	6289	5934	2271	4345	4167	8233	3064	9806	9618	8372	7265	9998	18627	9583	6327	6623	7128	17650	7564	9875	8970	5261	1786	6587	10869	7001	5670	6452	5002	8169	3528	14382	10867	12874	13081	1372	603	477	1395	1513	672	1749	572	1126	943	1089	661	-0.15965076837254	-0.148643846092851	0.03618155936928	0.0948457706708944	0.0985728243878542	0.0123267544684055	-0.272113055096111	0.205745349527154	0.341140240378924
16783920	X	16787648	7033	6565	4726	5807	11843	11492	16335	19037	15880	16472	15273	13788	2999	3124	3204	1174	2136	2107	4158	1575	5157	4847	4544	3933	4328	9532	4198	3320	3544	4575	6947	3501	5517	5144	3145	1032	3035	4704	3558	2341	2765	2181	3471	1271	5953	4425	5417	5674	488	300	285	618	464	346	713	299	452	324	436	291	-0.119613757096374	-0.218556612699069	0.157567305368044	0.457813349923719	-0.34549026445755	-0.285997757842395	-0.180603064427399	-0.173674672376226	0.250560090009476
16786012	2R	16798946	780	1214	1559	1636	1844	630	847	1508	1191	1065	1883	1829	7378	7124	8016	3112	5307	5363	9682	3709	12527	11416	10013	7524	6851	14504	8314	5762	4586	5202	14881	5750	6725	5262	4063	1250	6357	9992	6515	6132	5827	5285	8954	3590	16233	11190	14708	14534	2092	1730	1247	2660	2502	1318	2766	958	2209	1977	2389	1623	-0.133604302678785	-0.283749939635224	-0.136693430112067	0.184093322012076	-0.0254880349473476	0.251429770001752	-0.554047672426076	0.41003505706648	0.689273219662757
16787648	X	16792132	7377	6068	4480	5202	10049	9723	14616	18166	14995	14473	13360	11808	2877	2884	3073	900	1833	1881	3981	1564	5195	4842	4165	3272	6170	11418	7528	4238	4311	4743	10369	4744	6637	6161	3420	1055	3263	4942	3683	2623	3093	2322	3803	1537	7030	5144	5828	5909	389	119	194	548	389	311	783	221	554	325	468	297	-0.0676341181631236	-0.15391346709338	0.152679291670554	0.665529266045268	0.178353432147453	-0.064396250157798	-0.0688682935859495	0.779486448034923	0.782522820454165
16787894	3L	16799833	896	1011	1215	1669	1511	474	647	837	831	848	1699	1713	6777	5983	6219	2654	6118	6286	8723	3605	14397	11985	12112	7642	1168	7078	1973	1704	1962	1343	2259	1386	1908	2043	2607	672	4292	7094	4038	3026	4032	3688	5428	2546	11008	6819	11814	11797	2625	1750	1176	2735	2108	1391	2644	938	1869	2011	1910	1344	-0.0421028226391893	0.21870734060685	-0.198055018492096	-0.192393371207335	-0.107500869308595	-0.124058821967699	-0.0214505005244352	-0.423953062483629	0.424495374723915
16792132	X	16800586	5678	5032	3207	3613	6140	7579	9818	11797	9203	10008	9936	8646	5496	4994	6352	2485	3914	4195	6886	2870	8919	9424	7513	6661	7162	12818	7229	4990	5221	6292	12676	5467	7608	6179	4239	1255	3418	6246	4298	3685	4056	3706	4641	2368	9217	6562	8387	8578	695	418	502	1148	788	527	1245	322	833	616	866	461	-0.0958889051038189	-0.326414378205263	-0.0311659210345934	0.44127007546149	-0.299586338303382	-0.0522497911830839	-0.453469204343675	0.0894339459750244	0.462204229730484
16799451	2R	16848897	3087	4631	6713	8408	10340	11883	7413	5793	6681	7181	15528	14843	28964	23627	33383	11957	27709	30467	34067	14668	50044	43943	44037	35212	13912	52929	22376	16651	22385	30400	18491	9101	13920	13860	18808	5296	18521	35547	24583	21405	26932	28002	24992	14137	56133	39702	56913	59829	22271	11231	12362	19305	12884	17505	20731	12278	18807	20079	24608	18102	-0.0861437779141493	-0.370574414381705	-0.399877235025367	0.107555288479212	0.0878128097098051	-0.0551199038468507	-0.85659542732122	0.140248194342167	0.868000738550298
16800663	3L	16806795	260	532	594	730	547	286	410	351	478	464	1037	943	2552	2416	2951	1044	2192	2813	4177	1647	5550	5199	5058	4115	634	4483	845	1035	1320	1219	1430	890	1822	1750	2106	520	1713	3634	1867	1609	2086	2451	2767	1851	6566	4532	7183	7197	1172	674	491	1406	760	823	1486	524	1116	1174	1250	837	0.220402611929284	0.00361154193629595	0.0330065765484499	0.135864966895632	0.227737749212386	-0.0141273842325468	0.25702073041403	0.349475331875472	0.433811783440737
