"IC_1"	"IC_2"	"VC_1"	"VC_2"
50.0110243370692	85.773884609199	132.47240908181	123.171151132598
437.40985464959	444.412341733568	367.695853412972	353.447651076152
190.340465760487	71.3822932318166	77.275571964389	133.881686013694
157.497405001815	251.565017276644	236.072626440661	270.441005747662
147.793773414025	333.309256300176	436.479604282373	377.546354558617
95.543449479774	61.0203474401013	120.583859548827	152.625122055611
317.234109600812	307.404391820888	314.197380514549	262.40810458684
159.736704598997	204.36059755883	246.262811754646	219.565965062458
252.294421282528	257.897317482692	247.111993864145	265.085738307114
103.754214669442	106.49777619263	129.924862753313	101.750081370407
31.3501943605509	116.859721984345	143.511776505294	117.815883692051
117.190012252535	191.120333491638	252.207086521138	166.01329065698
432.184822256165	505.432689173669	395.718863026432	401.645058041082
157.497405001815	249.262362656263	259.849725506627	238.309401104375
17.9143967774576	147.945559359491	135.869137519805	144.592220894789
883.030474488849	999.352105245432	641.132492671579	621.21102310354
499.363810171631	511.189325724622	368.545035522471	353.447651076152
385.159530715339	501.403043588002	342.220390128008	401.645058041082
226.915692514463	332.733592645081	329.482658485527	313.283145272044
261.251619671257	310.858373751459	450.915700143852	396.289790600534
103.007781470381	156.004850530825	157.947872366773	168.690924377254
221.690660121038	222.781834521879	234.374262221663	208.855430181362
271.701684458107	294.739791408791	349.863029113497	326.671313873413
439.649154246773	384.543321603657	414.400869435405	471.263534768203
173.17250218209	339.641556506224	291.269463558082	251.697569705745
125.400777442203	104.770785227344	106.996945796846	115.138249971777
415.763291876829	427.142432080709	339.672843799512	350.770017355878
416.50972507589	184.78803328559	158.797054476272	184.756726698898
282.151749244958	220.479179901498	208.049616827201	211.533063901636
247.069388889103	181.334051355018	187.66924619923	157.980389496159
204.522696542641	204.36059755883	163.042965023766	149.947488335337
153.018805807451	201.482279283353	185.970881980233	214.21069762191
22.392995971822	101.316803296772	115.488766891834	147.269854615063
468.760049010141	531.337553652957	401.663137792923	313.283145272044
667.311279960297	916.45653891171	747.280256358927	559.625447537241
194.072631755791	109.951758123201	140.115048067299	174.046191817802
664.325547164054	733.971160246501	722.653975183462	672.086063788743
629.98962000726	682.161431287925	661.51286329955	610.500488222444
76.8826195032557	115.708394674154	103.600217358851	182.079092978624
73.8968867070127	135.280958947394	165.590511352262	117.815883692051
